order_no,order_date,customer_name,city,state,customer_type,account_manager,order_priority,product_name,product_category,product_container,ship_mode,ship_date,cost_price,retail_price,profit_margin,order_quantity,sub_total,discount_pct,discount_amt,order_total,shipping_cost,year,month,quarter,ship_delay_days,unit_margin,gross_profit_estimate,discount_pct_decimal,discount_band
5015-1,2014-04-01,Anne Pryor,Sydney,NSW,Corporate,Aanya Zhang,Medium,UGen Ultra Professional Cordless Optical Suite,Office Supplies,Wrap Bag,Express Air,2014-04-02,156.5,300.97,144.47,3,1602.02,10.0,144.41,1513.83,7.18,2014,4,2,1,144.47,433.41,0.1,Medium
5016-1,2013-02-11,Alex Russell,Melbourne,VIC,Consumer,Connor Betts,Low,"DrawIt Pizazz Watercolor Pencils, 10-Color Set with Brush",Office Supplies,Wrap Bag,Regular Air,2013-02-12,2.39,4.26,1.87,18,123.54,6.0,3.71,119.83,1.2,2013,2,1,1,1.87,33.66,0.06,Medium
5018-1,2013-12-29,Lena Creighton,Sydney,NSW,Small Business,Samantha Chairs,Low,TypeRight Side-Opening Peel & Seel Expanding Envelopes,Office Supplies,Wrap Bag,Express Air,2013-12-22,54.29,90.48,36.19,1,1029.5,2.0,30.82,1762.54,19.99,2013,12,4,-7,36.19,36.19,0.02,Low
5019-1,2013-11-18,Phillip Flathmann,Sydney,NSW,Small Business,Nicholas Fernandes,Not Specified,Artisan 487 Labels,Office Supplies,Wrap Bag,Regular Air,2013-11-20,2.29,3.69,1.4,34,205.6,2.0,6.16,193.54,0.5,2013,11,4,2,1.4,47.6,0.02,Low
5019-1,2013-02-13,Susan Vittorini,Melbourne,VIC,Corporate,Yvette Biti,Not Specified,Cando CCalored Accent Highlighters,Office Supplies,Small Box,Regular Air,2013-02-15,3.75,7.08,3.33,33,725.82,8.0,58.07,667.75,2.35,2013,2,1,2,3.33,109.89,0.08,Medium
5019-1,2013-02-13,Susan Vittorini,Melbourne,VIC,Corporate,Yvette Biti,Not Specified,Cando S750 Color Inkjet Printer,Office Supplies,Wrap Bag,Regular Air,2013-02-15,75.0,120.97,45.97,27,725.82,8.0,58.07,657.75,26.3,2013,2,1,2,45.97,1241.19,0.08,Medium
5020-1,2015-05-11,Bill Stewart,Sydney,NSW,Small Business,Natasha Song,Low,"Steady EarthWrite Recycled Pencils, Medium Soft, #2",Office Supplies,Small Box,Express Air,2015-05-13,0.9,2.1,1.2,49,35.7,5.0,1.07,34.63,0.7,2015,5,2,2,1.2,58.8,0.05,Low
5021-1,2015-05-18,Brian DeCherney,Sydney,NSW,Corporate,Aanya Zhang,High,TechSavi Access Keyboard,Technology,Medium Box,Regular Air,2015-05-25,10.07,15.98,5.91,24,139.2,1.0,5.35,132.97,4.0,2015,5,2,7,5.91,141.84,0.01,Low
5021-1,2014-06-23,Frank Hawley,Sydney,NSW,Small Business,Phoebe Gour,Medium,Artisan 479 Labels,Office Supplies,Wrap Bag,Express Air,2014-06-23,1.59,2.61,1.02,22,23.6,7.0,1.51,23.63,0.5,2014,6,2,0,1.02,22.44,0.07,Medium
5021-1,2013-10-20,Cindy Stewart,Sydney,NSW,Home Office,Leighton Forrest,Critical,Smiths Pushpins,Office Supplies,Small Pack,Regular Air,2013-10-20,0.94,1.88,0.94,24,25.8,6.0,0.16,23.63,0.79,2013,10,4,0,0.94,22.56,0.06,Medium
5022-1,2013-02-22,Rick Han,Sydney,NSW,Small Business,Nicholas Fernandes,Not Specified,UGen Ultra Professional Cordless Optical Suite,Office Supplies,Wrap Bag,Regular Air,2013-02-23,156.5,300.97,144.47,49,723.84,7.0,50.67,673.17,7.18,2013,2,1,1,144.47,7079.03,0.07,Medium
5023-1,2013-02-17,Olvera Toch,Melbourne,VIC,Small Business,Yvette Biti,Low,12 Colored Short Pencils,Furniture,Small Pack,Regular Air,2013-02-22,1.09,2.6,1.51,8,122.2,0.0,12.22,109.98,2.4,2013,2,1,5,1.51,12.08,0.0,No Discount
5023-1,2013-02-17,Olvera Toch,Melbourne,VIC,Home Office,Yvette Biti,Medium,12 Colored Short Pencils,Furniture,Large Box,Regular Air,2013-02-22,1.09,2.6,1.51,21,122.2,5.0,12.22,109.98,2.4,2013,2,1,5,1.51,31.71,0.05,Low
5023-1,2013-02-17,Olvera Toch,Melbourne,VIC,Home Office,Yvette Biti,High,12 Colored Short Pencils,Technology,Small Box,Regular Air,2013-02-22,1.09,2.6,1.51,37,122.2,10.0,12.22,109.98,2.4,2013,2,1,5,1.51,55.87,0.1,Medium
5023-1,2013-02-17,Olvera Toch,Melbourne,VIC,Corporate,Yvette Biti,High,1726 Digital Answering Machine,Office Supplies,Small Box,Express Air,2013-02-22,8.82,20.99,12.17,24,122.2,7.0,12.22,109.98,4.81,2013,2,1,5,12.17,292.08,0.07,Medium
5023-1,2014-06-04,Frank Merwin,Sydney,NSW,Corporate,Radhya Staples,Critical,1726 Digital Answering Machine,Office Supplies,Wrap Bag,Regular Air,2014-06-05,8.82,20.99,12.17,29,122.2,7.0,12.22,109.98,4.81,2014,6,2,1,12.17,352.93,0.07,Medium
5024-1,2015-05-22,Thomas Boland,Sydney,NSW,Corporate,Mihael Khan,Medium,"Angle-D Binders with Locking Rings, Label Holders",Office Supplies,Small Box,Express Air,2015-05-24,4.53,7.3,2.77,14,285.14,2.0,2.95,265.55,7.72,2015,5,2,2,2.77,38.78,0.02,Low
5024-1,2014-10-13,Bart Watters,Sydney,NSW,Corporate,Nicholas Fernandes,Low,3Max Organizer Strips,Office Supplies,Small Box,Regular Air,2014-10-15,3.4,5.4,2.0,42,146.6,1.0,14.58,134.01,7.78,2014,10,4,2,2.0,84.0,0.01,Low
5024-1,2013-02-18,Sean Wendt,Sydney,NSW,Corporate,Phoebe Gour,Medium,Multimedia Mailers,Office Supplies,Small Box,Regular Air,2013-02-20,99.39,162.93,63.54,48,5213.76,2.0,469.24,4744.52,19.99,2013,2,1,2,63.54,3049.92,0.02,Low
5024-1,2013-12-09,Dan Campbell,Sydney,NSW,Consumer,Leighton Forrest,High,Multimedia Mailers,Technology,Small Box,Express Air,2013-12-09,99.39,162.93,63.54,40,4099.5,3.0,419.0,4795.52,19.99,2013,12,4,0,63.54,2541.6,0.03,Low
5024-1,2014-09-02,Vivek Sundaresam,Sydney,NSW,Consumer,Tina Carlton,Low,Smiths SlimLine Pencil Sharpener,Office Supplies,Wrap Bag,Express Air,2014-09-04,4.79,11.97,7.18,41,242.08,5.0,14.24,230.51,5.81,2014,9,3,2,7.18,294.38,0.05,Low
5024-1,2014-02-25,Bebby Elias,Melbourne,VIC,Consumer,Connor Betts,High,"DrawIt Colored Pencils, 48-Color Set",Office Supplies,Small Box,Regular Air,2014-02-26,21.56,36.55,14.99,22,85.28,10.0,6.82,78.46,13.89,2014,2,1,1,14.99,329.78,0.1,Medium
5024-1,2013-02-18,Sean Wendt,Sydney,NSW,Corporate,Phoebe Gour,Critical,Multimedia Mailers,Office Supplies,Small Box,Express Air,2013-02-20,99.39,162.93,63.54,47,5213.76,9.0,469.24,4744.52,19.99,2013,2,1,2,63.54,2986.38,0.09,Medium
5024-1,2013-02-18,Sean Wendt,Sydney,NSW,Consumer,Phoebe Gour,High,Multimedia Mailers,Office Supplies,Small Box,Express Air,2013-02-20,99.39,162.93,63.54,50,5213.76,7.0,469.24,4744.52,19.99,2013,2,1,2,63.54,3177.0,0.07,Medium
5024-1,2015-02-18,Sandra Glassco,Melbourne,VIC,Home Office,Connor Betts,Critical,Artisan Binder Labels,Technology,Medium Box,Regular Air,2015-02-21,2.45,3.89,1.44,8,66.36,9.0,3.96,62.38,7.01,2015,2,1,3,1.44,11.52,0.09,Medium
5025-1,2015-06-08,Jack OBriant,Sydney,NSW,Corporate,Mihael Khan,Not Specified,Pizazz Dustless Chalk Sticks,Office Supplies,Small Box,Regular Air,2015-06-09,1.09,1.68,0.59,1,55.44,0.0,2.22,53.22,1.0,2015,6,2,1,0.59,0.59,0.0,No Discount
5025-1,2013-02-20,Rick Reed,Sydney,NSW,Corporate,Phoebe Gour,Not Specified,Pizazz Dustless Chalk Sticks,Office Supplies,Small Box,Regular Air,2013-02-22,1.09,1.68,0.59,34,55.44,10.0,2.22,53.22,1.0,2013,2,1,2,0.59,20.06,0.1,Medium
5025-1,2013-02-20,Rick Reed,Sydney,NSW,Small Business,Phoebe Gour,Not Specified,Pizazz Dustless Chalk Sticks,Office Supplies,Small Box,Regular Air,2013-02-22,1.09,1.68,0.59,18,55.44,8.0,2.22,53.22,1.0,2013,2,1,2,0.59,10.62,0.08,Medium
5025-1,2015-07-23,Magdelene Morse,Sydney,NSW,Corporate,Tina Carlton,Not Specified,TechSavi Cordless Elite Duo,Office Supplies,Small Box,Regular Air,2015-07-30,60.59,100.98,40.39,14,4533.86,10.0,66.8,4343.52,7.18,2015,7,3,7,40.39,565.46,0.1,Medium
5025-1,2013-02-20,Rick Reed,Sydney,NSW,Home Office,Phoebe Gour,High,Pizazz Dustless Chalk Sticks,Office Supplies,Wrap Bag,Regular Air,2013-02-22,1.09,1.68,0.59,29,55.44,3.0,2.22,53.22,1.0,2013,2,1,2,0.59,17.11,0.03,Low
5025-1,2013-02-20,Giulietta Dortch,Melbourne,VIC,Corporate,Connor Betts,Critical,Pizazz Dustless Chalk Sticks,Office Supplies,Small Box,Express Air,2013-02-22,1.09,1.68,0.59,39,55.44,7.0,2.22,53.22,1.0,2013,2,1,2,0.59,23.01,0.07,Medium
5025-1,2013-08-17,Valerie Dominguez,Sydney,NSW,Home Office,Tina Carlton,High,1726 Digital Answering Machine,Office Supplies,Wrap Bag,Regular Air,2013-08-17,8.82,20.99,12.17,16,49.36,2.0,3.96,48.66,4.81,2013,8,3,0,12.17,194.72,0.02,Low
5025-1,2013-10-03,Eric Barreto,Sydney,NSW,Corporate,Phoebe Gour,Critical,"Alto Parchment Paper, Assorted Colors",Office Supplies,Small Box,Regular Air,2013-10-04,4.59,7.28,2.69,19,533.72,4.0,36.53,428.51,11.15,2013,10,4,1,2.69,51.11,0.04,Low
5025-1,2014-09-12,Gary Hansen,Sydney,NSW,Consumer,Leighton Forrest,Low,UGen Ultra Professional Cordless Optical Suite,Technology,Jumbo Drum,Delivery Truck,2014-09-19,156.5,300.97,144.47,4,4759.68,6.0,39.3,4733.52,7.18,2014,9,3,7,144.47,577.88,0.06,Medium
5025-1,2014-07-30,Denny Joy,Melbourne,VIC,Consumer,Connor Betts,Not Specified,Smiths General Use 3-Ring Binders,Technology,Small Box,Regular Air,2014-08-01,1.18,1.88,0.7,39,35.7,9.0,3.51,34.53,1.49,2014,7,3,2,0.7,27.3,0.09,Medium
5026-1,2013-05-21,Kelly Lampkin,Sydney,NSW,Corporate,Aanya Zhang,Medium,Binder Clips by OIC,Technology,Small Pack,Regular Air,2013-05-23,0.93,1.48,0.55,16,25.06,0.0,2.56,22.6,0.7,2013,5,2,2,0.55,8.8,0.0,No Discount
5026-1,2013-05-31,Raymond Fair,Sydney,NSW,Home Office,Tina Carlton,High,Artisan 479 Labels,Office Supplies,Wrap Bag,Express Air,2013-06-02,1.59,2.61,1.02,41,23.29,5.0,1.61,22.29,0.5,2013,5,2,2,1.02,41.82,0.05,Low
5027-1,2013-07-29,Nick Zandusky,Melbourne,VIC,Home Office,Connor Betts,Low,Artisan Binder Labels,Technology,Small Box,Regular Air,2013-07-30,2.45,3.89,1.44,29,542.12,4.0,41.26,425.7,7.01,2013,7,3,1,1.44,41.76,0.04,Low
5027-1,2014-01-13,Ashley Jarboe,Melbourne,VIC,Small Business,Connor Betts,High,Artisan 479 Labels,Office Supplies,Small Box,Regular Air,2014-01-18,1.59,2.61,1.02,45,127.29,6.0,12.72,122.76,0.5,2014,1,1,5,1.02,45.9,0.06,Medium
5027-1,2013-10-25,Dan Campbell,Sydney,NSW,Consumer,Leighton Forrest,Medium,Apex Straight Scissors,Technology,Large Box,Regular Air,2013-10-27,5.19,12.98,7.79,10,530.6,1.0,43.56,514.48,3.14,2013,10,4,2,7.79,77.9,0.01,Low
5027-1,2013-10-13,Sylvia Foulston,Sydney,NSW,Small Business,Tina Carlton,High,Emerson Stylus 1520 Color Inkjet Printer,Office Supplies,Wrap Bag,Regular Air,2013-10-13,75.0,120.97,45.97,31,929.96,6.0,76.8,825.36,26.3,2013,10,4,0,45.97,1425.07,0.06,Medium
5027-1,2016-01-19,Tamara Willingham,Sydney,NSW,Corporate,Phoebe Gour,Not Specified,TechSavi Access Keyboard,Office Supplies,Small Pack,Regular Air,2016-01-19,10.07,15.98,5.91,4,799.42,2.0,59.92,770.46,4.0,2016,1,1,0,5.91,23.64,0.02,Low
5027-1,2013-07-22,Edward Becker,Sydney,NSW,Corporate,Samantha Chairs,Critical,UGen Ultra Professional Cordless Optical Suite,Office Supplies,Small Pack,Regular Air,2013-07-26,156.5,300.97,144.47,9,5799.5,7.0,264.99,5579.53,7.18,2013,7,3,4,144.47,1300.23,0.07,Medium
5027-1,2013-02-22,Bill Donatelli,Sydney,NSW,Home Office,Phoebe Gour,Low,"TypeRight  Top-Opening Peel & Seel  Envelopes, Gray",Office Supplies,Small Box,Regular Air,2013-02-28,21.56,35.94,14.38,11,723.84,1.0,50.67,673.17,6.66,2013,2,1,6,14.38,158.18,0.01,Low
5028-1,2015-06-19,Fredhen Memon,Sydney,NSW,Corporate,Mihael Khan,Medium,Artisan Hi-Liter Smear-Safe Highlighters,Technology,Small Box,Regular Air,2015-06-21,2.98,5.84,2.86,7,34.46,1.0,2.24,30.66,0.83,2015,6,2,2,2.86,20.02,0.01,Low
5028-1,2013-10-09,Frank Merwin,Sydney,NSW,Corporate,Nicholas Fernandes,Not Specified,Artisan 474 Labels,Furniture,Large Box,Regular Air,2013-10-11,1.84,2.88,1.04,17,26.62,0.0,0.17,26.53,0.99,2013,10,4,2,1.04,17.68,0.0,No Discount
5029-1,2013-02-23,Giulietta Weimer,Sydney,NSW,Home Office,Natasha Song,Medium,Artisan Printable Repositionable Plastic Tabs,Office Supplies,Small Pack,Regular Air,2013-02-23,5.33,8.6,3.27,22,412.8,7.0,0.0,412.8,6.19,2013,2,1,0,3.27,71.94,0.07,Medium
5029-1,2014-06-02,Arthur Gainer,Melbourne,VIC,Home Office,Connor Betts,High,Artisan 479 Labels,Technology,Medium Box,Regular Air,2014-06-04,1.59,2.61,1.02,7,209.9,3.0,0.0,209.9,0.5,2014,6,2,2,1.02,7.14,0.03,Low
5029-1,2013-02-23,Giulietta Weimer,Sydney,NSW,Corporate,Natasha Song,High,Artisan Printable Repositionable Plastic Tabs,Technology,Jumbo Drum,Delivery Truck,2013-02-23,5.33,8.6,3.27,13,412.8,4.0,0.0,412.8,6.19,2013,2,1,0,3.27,42.51,0.04,Low
5029-1,2015-11-12,Michael Oakman,Melbourne,VIC,Corporate,Connor Betts,Not Specified,TypeRight Side-Opening Peel & Seel Expanding Envelopes,Office Supplies,Wrap Bag,Regular Air,2015-11-14,54.29,90.48,36.19,40,4564.22,10.0,377.64,4113.59,19.99,2015,11,4,2,36.19,1447.6,0.1,Medium
5029-1,2013-05-20,Christy Brittain,Sydney,NSW,Corporate,Mihael Khan,Low,Artisan Printable Repositionable Plastic Tabs,Office Supplies,Small Box,Regular Air,2013-05-22,5.33,8.6,3.27,19,412.8,10.0,0.0,412.8,6.19,2013,5,2,2,3.27,62.13,0.1,Medium
5032-1,2013-11-18,Phillip Flathmann,Sydney,NSW,Home Office,Nicholas Fernandes,Critical,"TypeRight  Top-Opening Peel & Seel Envelopes, Plain White",Office Supplies,Small Box,Regular Air,2013-11-20,16.85,27.18,10.33,32,632.36,6.0,68.76,663.38,8.23,2013,11,4,2,10.33,330.56,0.06,Medium
5032-1,2013-12-16,Henry Goldwyn,Melbourne,VIC,Corporate,Yvette Biti,Medium,Artisan 474 Labels,Office Supplies,Small Box,Regular Air,2013-12-19,1.84,2.88,1.04,22,127.92,1.0,10.16,122.66,0.99,2013,12,4,3,1.04,22.88,0.01,Low
5033-1,2013-02-25,Katherine Ducich,Sydney,NSW,Small Business,Samantha Chairs,High,TypeRight Side-Opening Peel & Seel Expanding Envelopes,Office Supplies,Small Box,Regular Air,2013-02-27,54.29,90.48,36.19,42,271.44,5.0,8.14,263.3,19.99,2013,2,1,2,36.19,1519.98,0.05,Low
5034-1,2013-06-05,Deborah Brumfield,Sydney,NSW,Small Business,Samantha Chairs,Medium,Artisan 474 Labels,Office Supplies,Small Box,Regular Air,2013-06-05,1.84,2.88,1.04,32,201.9,5.0,8.0,193.54,0.99,2013,6,2,0,1.04,33.28,0.05,Low
5034-1,2015-08-10,Nora Price,Sydney,NSW,Small Business,Preston Senome,Medium,Ames Color-File Green Diamond Border X-ray Mailers,Technology,Small Box,Express Air,2015-08-13,52.07,83.98,31.91,22,2752.32,7.0,188.46,2668.3,5.01,2015,8,3,3,31.91,702.02,0.07,Medium
5034-1,2014-09-23,Grant Thornton,Sydney,NSW,Small Business,Natasha Song,Critical,Artisan 474 Labels,Technology,Small Box,Regular Air,2014-09-25,1.84,2.88,1.04,45,68.96,8.0,0.6,68.96,0.99,2014,9,3,2,1.04,46.8,0.08,Medium
5034-1,2013-05-09,Thea Hudgings,Melbourne,VIC,Small Business,Connor Betts,Medium,Alto Memo Cubes,Office Supplies,Small Box,Regular Air,2013-05-11,3.32,5.18,1.86,37,91.06,1.0,7.3,88.96,2.04,2013,5,2,2,1.86,68.82,0.01,Low
5034-1,2013-05-13,Alex Russell,Melbourne,VIC,Home Office,Connor Betts,High,Alto Memo Cubes,Office Supplies,Small Box,Regular Air,2013-05-15,3.32,5.18,1.86,35,76.0,3.0,6.8,59.66,2.04,2013,5,2,2,1.86,65.1,0.03,Low
5034-1,2013-02-20,Rick Reed,Sydney,NSW,Home Office,Phoebe Gour,High,Apex Straight Scissors,Office Supplies,Wrap Bag,Regular Air,2013-02-22,5.19,12.98,7.79,16,225.32,10.0,2.24,221.2,3.14,2013,2,1,2,7.79,124.64,0.1,Medium
5035-1,2013-04-30,Pamela Stobb,Sydney,NSW,Consumer,Leighton Forrest,Low,HFX LaserJet 3310 Copier,Technology,Small Box,Regular Air,2013-05-02,377.99,599.99,222.0,35,2065.8,5.0,54.07,2759.75,24.49,2013,4,2,2,222.0,7770.0,0.05,Low
5036-1,2013-03-07,Sean ODonnell,Melbourne,VIC,Corporate,Yvette Biti,Medium,OIC Thumb-Tacks,Office Supplies,Small Box,Express Air,2013-03-10,0.71,1.14,0.43,14,57.0,2.0,3.42,53.58,0.7,2013,3,1,3,0.43,6.02,0.02,Low
5036-1,2013-03-07,Sean ODonnell,Melbourne,VIC,Corporate,Yvette Biti,Medium,OIC Thumb-Tacks,Furniture,Large Box,Express Air,2013-03-10,0.71,1.14,0.43,14,57.0,0.0,3.42,53.58,0.7,2013,3,1,3,0.43,6.02,0.0,No Discount
5037-1,2013-03-11,Art Foster,Sydney,NSW,Consumer,Stevie Bacata,High,Apex Elite Stainless Steel Scissors,Furniture,Small Pack,Regular Air,2013-03-13,3.42,8.34,4.92,32,133.44,8.0,4.0,129.44,2.64,2013,3,1,2,4.92,157.44,0.08,Medium
5037-1,2013-06-29,Adam Bellavance,Sydney,NSW,Home Office,Leighton Forrest,Not Specified,Apex Elite Stainless Steel Scissors,Office Supplies,Small Box,Regular Air,2013-07-01,3.42,8.34,4.92,11,133.44,7.0,4.0,129.44,2.64,2013,6,2,2,4.92,54.12,0.07,Medium
5037-1,2013-07-04,Sara Luxemburg,Sydney,NSW,Home Office,Charlie Bui,Critical,Smiths SlimLine Pencil Sharpener,Office Supplies,Wrap Bag,Regular Air,2013-07-05,4.79,11.97,7.18,10,245.7,10.0,27.26,222.1,5.81,2013,7,3,1,7.18,71.8,0.1,Medium
5037-1,2013-03-11,Art Foster,Sydney,NSW,Small Business,Stevie Bacata,High,Apex Preferred Stainless Steel Scissors,Office Supplies,Wrap Bag,Express Air,2013-03-13,2.5,5.68,3.18,50,133.44,9.0,4.0,129.44,3.6,2013,3,1,2,3.18,159.0,0.09,Medium
5038-1,2013-03-16,Christina Vanderzanden,Sydney,NSW,Home Office,Tina Carlton,Medium,Smiths Standard Envelopes,Technology,Small Box,Regular Air,2013-03-20,3.52,5.68,2.16,34,139.24,2.0,9.68,128.54,1.39,2013,3,1,4,2.16,73.44,0.02,Low
5039-1,2013-03-15,Michael Grace,Sydney,NSW,Small Business,Natasha Song,Low,"Alto Parchment Paper, Assorted Colors",Office Supplies,Wrap Bag,Express Air,2013-03-16,4.59,7.28,2.69,37,160.16,4.0,1.6,158.56,11.15,2013,3,1,1,2.69,99.53,0.04,Low
5039-1,2013-05-31,Rick Duston,Sydney,NSW,Consumer,Charlie Bui,High,Artisan 474 Labels,Office Supplies,Small Box,Regular Air,2013-05-31,1.84,2.88,1.04,42,130.66,0.0,10.56,121.02,0.99,2013,5,2,0,1.04,43.68,0.0,No Discount
5039-1,2014-08-07,John Lucas,Sydney,NSW,Corporate,Tina Carlton,Critical,"Alto Parchment Paper, Assorted Colors",Furniture,Large Box,Regular Air,2014-08-09,4.59,7.28,2.69,44,186.52,8.0,1.68,168.06,11.15,2014,8,3,2,2.69,118.36,0.08,Medium
5040-1,2013-03-16,Christina Vanderzanden,Sydney,NSW,Consumer,Tina Carlton,High,"Steady Colorific Colored Pencils, 12/Box",Technology,Large Box,Regular Air,2013-03-20,1.3,2.88,1.58,46,138.24,7.0,9.68,128.56,1.01,2013,3,1,4,1.58,72.68,0.07,Medium
5040-1,2013-03-16,Christina Vanderzanden,Sydney,NSW,Corporate,Tina Carlton,Critical,"Steady Colorific Colored Pencils, 12/Box",Technology,Small Box,Express Air,2013-03-20,1.3,2.88,1.58,8,138.24,5.0,9.68,128.56,1.01,2013,3,1,4,1.58,12.64,0.05,Low
5040-1,2013-03-16,Christina Vanderzanden,Sydney,NSW,Home Office,Tina Carlton,Medium,"Steady Colorific Colored Pencils, 12/Box",Office Supplies,Small Box,Regular Air,2013-03-20,1.3,2.88,1.58,22,138.24,2.0,9.68,128.56,1.01,2013,3,1,4,1.58,34.76,0.02,Low
5040-1,2013-03-16,Christina Vanderzanden,Sydney,NSW,Consumer,Tina Carlton,High,"Steady Colorific Colored Pencils, 12/Box",Technology,Small Pack,Express Air,2013-03-20,1.3,2.88,1.58,32,138.24,8.0,9.68,128.56,1.01,2013,3,1,4,1.58,50.56,0.08,Medium
5041-1,2015-10-20,Eva Jacobs,Sydney,NSW,Small Business,Nicholas Fernandes,Medium,Artisan Hi-Liter Smear-Safe Highlighters,Office Supplies,Small Box,Regular Air,2015-10-24,2.98,5.84,2.86,48,7.2,8.0,0.63,7.64,0.83,2015,10,4,4,2.86,137.28,0.08,Medium
5042-1,2013-04-30,Pamela Stobb,Sydney,NSW,Small Business,Leighton Forrest,Not Specified,Apex Straight Scissors,Office Supplies,Small Pack,Express Air,2013-05-02,5.19,12.98,7.79,49,623.22,4.0,56.09,567.13,3.14,2013,4,2,2,7.79,381.71,0.04,Low
5042-1,2013-06-25,Karl Brown,Sydney,NSW,Home Office,Tina Carlton,High,Alto Memo Cubes,Office Supplies,Small Box,Regular Air,2013-05-26,3.32,5.18,1.86,30,130.42,9.0,3.01,128.43,2.04,2013,6,2,-30,1.86,55.8,0.09,Medium
5042-1,2013-03-23,Aaron Smayling,Sydney,NSW,Small Business,Nicholas Fernandes,High,Assorted Color Push Pins,Office Supplies,Small Box,Regular Air,2013-03-26,0.87,1.81,0.94,30,61.1,3.0,2.34,58.66,0.75,2013,3,1,3,0.94,28.2,0.03,Low
5043-1,2015-04-18,Philip Brown,Melbourne,VIC,Corporate,Yvette Biti,Not Specified,Artisan 487 Labels,Furniture,Small Pack,Express Air,2015-04-19,2.29,3.69,1.4,7,144.5,1.0,14.87,147.65,0.5,2015,4,2,1,1.4,9.8,0.01,Low
5046-1,2015-01-11,Katherine Nockton,Melbourne,VIC,Consumer,Connor Betts,Critical,"Smiths Pen Style Liquid Stix; Assorted (yellow, pink, green, blue, orange), 5/Pack",Office Supplies,Small Box,Regular Air,2015-01-12,3.88,6.47,2.59,34,113.68,3.0,7.95,110.05,1.22,2015,1,1,1,2.59,88.06,0.03,Low
5047-1,2015-04-19,Thais Sissman,Sydney,NSW,Small Business,Tina Carlton,High,Artisan Poly Binder Pockets,Technology,Small Pack,Regular Air,2015-04-19,2.26,3.58,1.32,11,131.14,2.0,6.33,112.43,5.47,2015,4,2,0,1.32,14.52,0.02,Low
